episode: 470 , total_reward_episode: 1 , reward: -0.171975
episode: 471 , total_reward_episode: 1 , reward: -0.169492
episode: 472 , total_reward_episode: 1 , reward: -0.167019
episode: 473 , total_reward_episode: -1 , reward: -0.168776
episode: 474 , total_reward_episode: -1 , reward: -0.170526
episode: 475 , total_reward_episode: 1 , reward: -0.168067
episode: 476 , total_reward_episode: 1 , reward: -0.165618
episode: 477 , total_reward_episode: 1 , reward: -0.16318
episode: 478 , total_reward_episode: -1 , reward: -0.164927
episode: 479 , total_reward_episode: 1 , reward: -0.1625
episode: 480 , total_reward_episode: 1 , reward: -0.160083
episode: 481 , total_reward_episode: -1 , reward: -0.161826
episode: 482 , total_reward_episode: 1 , reward: -0.15942
episode: 483 , total_reward_episode: -1 , reward: -0.161157
episode: 484 , total_reward_episode: -1 , reward: -0.162887
episode: 485 , total_reward_episode: -1 , reward: -0.164609
episode: 486 , total_reward_episode: -1 , reward: -0.166324
episode: 487 , total_reward_episode: 1 , reward: -0.163934
episode: 488 , total_reward_episode: -1 , reward: -0.165644
episode: 489 , total_reward_episode: 1 , reward: -0.163265
episode: 490 , total_reward_episode: 1 , reward: -0.160896
episode: 491 , total_reward_episode: -1 , reward: -0.162602
episode: 492 , total_reward_episode: -1 , reward: -0.1643
episode: 493 , total_reward_episode: 1 , reward: -0.161943
episode: 494 , total_reward_episode: -1 , reward: -0.163636
episode: 495 , total_reward_episode: 1 , reward: -0.16129
episode: 496 , total_reward_episode: -1 , reward: -0.162978
episode: 497 , total_reward_episode: 1 , reward: -0.160643
episode: 498 , total_reward_episode: 1 , reward: -0.158317
episode: 499 , total_reward_episode: -1 , reward: -0.16
episode: 500 , total_reward_episode: 1 , reward: -0.157685
